OMIT_0030001	A1BG
OMIT_0030002	A2M
OMIT_0030003	A2MP1
OMIT_0030004	NAT1
OMIT_0030005	NAT2
OMIT_0030006	NATP
OMIT_0030007	SERPINA3
OMIT_0030008	AADAC
OMIT_0030009	AAMP
OMIT_0030010	AANAT
OMIT_0030011	AARS
OMIT_0030012	AAVS1
OMIT_0030013	ABAT
OMIT_0030014	ABCA1
OMIT_0030015	ABCA2
OMIT_0030016	ABCA3
OMIT_0030017	ABCB7
OMIT_0030018	ABCF1
OMIT_0030019	ABCA4
OMIT_0030020	ABL1
OMIT_0030021	AOC1
OMIT_0030022	ABL2
OMIT_0030023	ABO
OMIT_0030024	ABR
OMIT_0030025	ACAA1
OMIT_0030026	ACACA
OMIT_0030027	ACACB
OMIT_0030028	ACADL
OMIT_0030029	ACADM
OMIT_0030030	ACADS
OMIT_0030031	ACADSB
OMIT_0030032	ACADVL
OMIT_0030033	ACAT1
OMIT_0030034	ACAT2
OMIT_0030035	ASIC2
OMIT_0030036	ASIC1
OMIT_0030037	ACHE
OMIT_0030038	ACLS
OMIT_0030039	ACLY
OMIT_0030040	ACO1
OMIT_0030041	ACR
OMIT_0030042	ACO2
OMIT_0030043	ACOX1
OMIT_0030044	ACP1
OMIT_0030045	ACP2
OMIT_0030046	ACP5
OMIT_0030047	ACPP
OMIT_0030048	ACRV1
OMIT_0030049	ACTA1
OMIT_0030050	ACTA2
OMIT_0030051	ACTB
OMIT_0030052	ACTBP2
OMIT_0030053	ACTBP3
OMIT_0030054	ACTBP4
OMIT_0030055	ACTBP6
OMIT_0030056	ACTBP7
OMIT_0030057	ACTBP8
OMIT_0030058	ACTBP9
OMIT_0030059	ACTC1
OMIT_0030060	ACTG1
OMIT_0030061	ACTG2
OMIT_0030062	ACTG1P1
OMIT_0030063	ACTG1P2
OMIT_0030064	ACTG1P3
OMIT_0030065	ACTG1P6
OMIT_0030066	ACTG1P7
OMIT_0030067	ACTG1P8
OMIT_0030068	ACTN4
OMIT_0030069	ACTG1P9
OMIT_0030070	ACTG1P10
OMIT_0030071	ACTL6A
