NCRO_1000000	hsa-miR-548f-5
NCRO_1000001	hsa-miR-214
NCRO_1000002	hsa-miR-6769a-5p
NCRO_1000003	hsa-miR-3202
NCRO_1000004	hsa-miR-5697
NCRO_1000005	hsa-miR-718
NCRO_1000006	hsa-miR-3126-5p
NCRO_1000007	hsa-miR-548a-3
NCRO_1000008	hsa-miR-4687-5p
NCRO_1000009	hsa-miR-1469
NCRO_1000010	hsa-miR-3158-2
NCRO_1000011	hsa-miR-4309
NCRO_1000012	hsa-miR-4754
NCRO_1000013	hsa-miR-548ak
NCRO_1000014	hsa-miR-378b
NCRO_1000015	hsa-miR-3197
NCRO_1000016	hsa-miR-6808-3p
NCRO_1000017	hsa-miR-6848-3p
NCRO_1000018	hsa-miR-101-1
NCRO_1000019	hsa-miR-4757-3p
NCRO_1000020	hsa-miR-101-5p
NCRO_1000021	hsa-miR-6763
NCRO_1000022	hsa-miR-500b-5p
NCRO_1000023	hsa-miR-550a-5p
NCRO_1000024	hsa-miR-4518
NCRO_1000025	hsa-miR-5590-5p
NCRO_1000026	hsa-miR-378h
NCRO_1000027	hsa-miR-4532
NCRO_1000028	hsa-miR-140-3p
NCRO_1000029	hsa-miR-1302-5
NCRO_1000030	hsa-miR-5196-5p
NCRO_1000031	hsa-miR-4756-3p
NCRO_1000032	hsa-miR-1299
NCRO_1000033	hsa-miR-6720-5p
NCRO_1000034	hsa-miR-6847-5p
NCRO_1000035	hsa-miR-138-1
NCRO_1000036	hsa-miR-5011-5p
NCRO_1000037	hsa-miR-1306-5p
NCRO_1000038	hsa-miR-6813-5p
NCRO_1000039	hsa-miR-6751
NCRO_1000040	hsa-miR-4760
NCRO_1000041	hsa-miR-323a
NCRO_1000042	hsa-miR-138-5p
NCRO_1000043	hsa-miR-6780a-5p
NCRO_1000044	hsa-miR-1-3p
NCRO_1000045	hsa-miR-5700
NCRO_1000046	hsa-miR-4460
NCRO_1000047	hsa-miR-3687
NCRO_1000048	hsa-miR-891a-5p
NCRO_1000049	hsa-miR-3136-5p
NCRO_1000050	hsa-miR-6794-3p
NCRO_1000051	hsa-miR-4447
NCRO_1000052	hsa-miR-548b-5p
NCRO_1000053	hsa-miR-7-2
NCRO_1000054	hsa-miR-3925
NCRO_1000055	hsa-miR-340-5p
NCRO_1000056	hsa-miR-7162-5p
NCRO_1000057	hsa-miR-1181
NCRO_1000058	hsa-miR-6819
NCRO_1000059	hsa-miR-4451
NCRO_1000060	hsa-miR-6838
NCRO_1000061	hsa-miR-4307
NCRO_1000062	hsa-miR-640
NCRO_1000063	hsa-miR-630
NCRO_1000064	hsa-miR-3179-3
NCRO_1000065	hsa-miR-3153
NCRO_1000066	hsa-miR-4765
NCRO_1000067	hsa-miR-576-5p
NCRO_1000068	hsa-miR-1913
NCRO_1000069	hsa-miR-514a-3
NCRO_1000070	hsa-miR-6820-5p
NCRO_1000071	hsa-miR-6850-3p
NCRO_1000072	hsa-miR-3115
NCRO_1000073	hsa-miR-148b-5p
NCRO_1000074	hsa-miR-4432
NCRO_1000075	hsa-miR-6515-5p
NCRO_1000076	hsa-miR-29b-2-5p
NCRO_1000077	hsa-miR-509-3-5p
NCRO_1000078	hsa-let-7i-5p
NCRO_1000079	hsa-miR-7162
NCRO_1000080	hsa-miR-1910-5p
NCRO_1000081	hsa-miR-6845
NCRO_1000082	hsa-miR-548x
NCRO_1000083	hsa-miR-3680-1
NCRO_1000084	hsa-miR-548am-3p
NCRO_1000085	hsa-miR-5739
NCRO_1000086	hsa-miR-3171
NCRO_1000087	hsa-miR-218-5p
NCRO_1000088	hsa-miR-4492
NCRO_1000089	hsa-miR-4259
NCRO_1000090	hsa-miR-151a-3p
NCRO_1000091	hsa-miR-520a-3p
NCRO_1000092	hsa-miR-223-5p
NCRO_1000093	hsa-miR-3934
NCRO_1000094	hsa-miR-892c-3p
NCRO_1000095	hsa-miR-5586-3p
NCRO_1000096	hsa-miR-4418
NCRO_1000097	hsa-miR-3615
NCRO_1000098	hsa-miR-6747-3p
NCRO_1000099	hsa-miR-520d-5p
NCRO_1000100	hsa-miR-5193
NCRO_1000101	hsa-miR-3182
NCRO_1000102	hsa-miR-370-5p
NCRO_1000103	hsa-miR-4696
NCRO_1000104	hsa-miR-26b-5p
NCRO_1000105	hsa-miR-4426
NCRO_1000106	hsa-miR-4427
NCRO_1000107	hsa-miR-6804-5p
NCRO_1000108	hsa-miR-4760-3p
NCRO_1000109	hsa-miR-380
NCRO_1000110	hsa-miR-507
NCRO_1000111	hsa-miR-4727-5p
NCRO_1000112	hsa-miR-19a-5p
NCRO_1000113	hsa-miR-6510
NCRO_1000114	hsa-miR-4638-5p
NCRO_1000115	hsa-miR-6789
NCRO_1000116	hsa-miR-6791-3p
NCRO_1000117	hsa-miR-550a-3p
NCRO_1000118	hsa-miR-3688-5p
NCRO_1000119	hsa-miR-550a-3-5p
NCRO_1000120	hsa-miR-155
NCRO_1000121	hsa-miR-4672
NCRO_1000122	hsa-miR-3679-3p
NCRO_1000123	hsa-miR-5009-3p
NCRO_1000124	hsa-miR-4645
NCRO_1000125	hsa-miR-6074
NCRO_1000126	hsa-miR-876-3p
NCRO_1000127	hsa-miR-3184-5p
NCRO_1000128	hsa-miR-324-3p
NCRO_1000129	hsa-miR-548ax
NCRO_1000130	hsa-miR-1183
NCRO_1000131	hsa-miR-4327
NCRO_1000132	hsa-miR-431-3p
NCRO_1000133	hsa-miR-4520-3p
NCRO_1000134	hsa-miR-1183
NCRO_1000135	hsa-miR-26a-1
NCRO_1000136	hsa-miR-8078
NCRO_1000137	hsa-miR-1343
NCRO_1000138	hsa-miR-6132
NCRO_1000139	hsa-miR-5189-3p
NCRO_1000140	hsa-miR-4793
NCRO_1000141	hsa-miR-4717-5p
NCRO_1000142	hsa-miR-626
NCRO_1000143	hsa-miR-4745-3p
NCRO_1000144	hsa-miR-6757-3p
NCRO_1000145	hsa-miR-4682
NCRO_1000146	hsa-miR-6859-3
NCRO_1000147	hsa-miR-3183
NCRO_1000148	hsa-miR-6779
NCRO_1000149	hsa-miR-522
NCRO_1000150	hsa-miR-423-5p
NCRO_1000151	hsa-miR-4482
NCRO_1000152	hsa-miR-7843-3p
NCRO_1000153	hsa-miR-21-3p
NCRO_1000154	hsa-miR-3682-5p
NCRO_1000155	hsa-miR-548aa-2
NCRO_1000156	hsa-miR-3189-5p
NCRO_1000157	hsa-miR-6891-3p
NCRO_1000158	hsa-miR-4486
NCRO_1000159	hsa-miR-6769b
NCRO_1000160	hsa-miR-3924
NCRO_1000161	hsa-miR-4778-3p
NCRO_1000162	hsa-miR-1587
NCRO_1000163	hsa-miR-605
NCRO_1000164	hsa-miR-130a-5p
NCRO_1000165	hsa-miR-301a-5p
NCRO_1000166	hsa-miR-6854-5p
NCRO_1000167	hsa-miR-25-3p
NCRO_1000168	hsa-miR-450b
NCRO_1000169	hsa-miR-6858
NCRO_1000170	hsa-miR-4311
NCRO_1000171	hsa-miR-548a-1
NCRO_1000172	hsa-miR-1228-5p
NCRO_1000173	hsa-miR-1243
NCRO_1000174	hsa-miR-1233-1
NCRO_1000175	hsa-miR-6126
NCRO_1000176	hsa-miR-378i
NCRO_1000177	hsa-miR-7151-5p
NCRO_1000178	hsa-miR-4445-5p
NCRO_1000179	hsa-miR-6764
NCRO_1000180	hsa-miR-139-5p
NCRO_1000181	hsa-miR-33b
NCRO_1000182	hsa-miR-7106-5p
NCRO_1000183	hsa-miR-23c
NCRO_1000184	hsa-miR-125a-3p
NCRO_1000185	hsa-miR-6853
NCRO_1000186	hsa-miR-6727
NCRO_1000187	hsa-let-7f-1-3p
NCRO_1000188	hsa-miR-659-3p
NCRO_1000189	hsa-miR-1302
NCRO_1000190	hsa-miR-3190-5p
NCRO_1000191	hsa-miR-3119-2
NCRO_1000192	hsa-miR-4528
NCRO_1000193	hsa-miR-181c-5p
